data;mes;ano;total_avaliacoes;nota_media_geral;nota_limpeza;nota_localizacao;nota_atendimento;nota_custo_beneficio;avaliacoes_5_estrelas;avaliacoes_4_estrelas;avaliacoes_3_estrelas;avaliacoes_2_estrelas;avaliacoes_1_estrela;principal_reclamacao;taxa_recomendacao
2024-01-31;1;2024;300;3,8;4,1;4,3;4,0;3,8;87;132;39;26;16;Limpeza;73,0
2024-02-29;2;2024;330;3,8;4,0;4,2;3,9;3,8;103;127;52;35;13;Barulho;69,7
2024-03-31;3;2024;360;3,8;4,1;4,3;4,0;3,7;106;152;61;24;17;Barulho;71,7
2024-04-30;4;2024;390;3,9;4,0;4,2;4,0;3,7;120;163;66;19;22;Barulho;72,6
2024-05-31;5;2024;420;3,9;4,0;4,3;4,0;3,8;139;159;71;31;20;Barulho;71,0
2024-06-30;6;2024;450;3,9;4,0;4,3;4,0;3,8;143;183;71;34;19;Limpeza;72,4
2024-07-31;7;2024;480;3,9;4,1;4,2;3,9;3,7;143;209;74;36;18;Vizinhança;73,3
2024-08-31;8;2024;510;3,8;4,1;4,3;4,0;3,8;147;228;66;46;23;Manutenção;73,5
2024-09-30;9;2024;540;3,9;4,1;4,3;4,0;3,8;173;224;75;43;25;Limpeza;73,5
2024-10-31;10;2024;570;3,9;4,0;4,3;3,9;3,8;173;243;88;43;23;Manutenção;73,0
2024-11-30;11;2024;600;3,9;4,1;4,3;4,0;3,7;207;231;87;45;30;Internet;73,0
2024-12-31;12;2024;630;3,8;4,1;4,2;3,9;3,7;187;252;103;57;31;Limpeza;69,7
