data;mes;ano;contratos_ativos;novos_contratos;cancelamentos;contratos_republica;contratos_kitnet;contratos_apartamento;contratos_casa;valor_medio_republica;valor_medio_kitnet;valor_medio_apartamento;valor_medio_casa;receita_total;taxa_ocupacao;tempo_medio_permanencia_meses
2024-01-31;1;2024;1800;269;156;810;540;270;180;864,43;1199,4;1578,32;728,27;1905099,77;95,0;6,7
2024-02-29;2;2024;2016;218;196;907;604;302;201;1077,28;1329,03;2153,42;694,46;2569742,24;87,8;9,8
2024-03-31;3;2024;2232;396;175;1004;669;334;223;954,05;1098,03;2184,33;782,34;2596475,7;79,5;10,2
2024-04-30;4;2024;2448;355;274;1101;734;367;244;696,45;1742,44;1484,8;847,81;2797524,01;83,9;8,0
2024-05-31;5;2024;2664;319;194;1198;799;399;266;992,01;1028,63;1896,63;725,89;2960137,72;87,7;8,0
2024-06-30;6;2024;2880;307;310;1296;864;432;288;746,25;1226,23;1636,7;667,17;2925800,92;86,1;7,4
2024-07-31;7;2024;3096;453;250;1393;928;464;309;1181,74;1014,54;1748,21;817,46;3651427,63;98,0;6,2
2024-08-31;8;2024;3311;745;334;1489;993;496;331;999,43;1389,08;1804,46;692,7;3991808,59;95,1;9,7
2024-09-30;9;2024;3528;449;368;1587;1058;529;352;904,42;1570,0;2019,88;877,89;4473910,65;94,3;10,5
2024-10-31;10;2024;3744;686;151;1684;1123;561;374;1200,0;1140,94;1920,18;728,75;4651846,6;93,4;7,6
2024-11-30;11;2024;3960;673;384;1782;1188;594;396;898,61;1381,15;1947,95;668,93;4664105,43;98,0;7,4
2024-12-31;12;2024;4176;794;270;1879;1252;626;417;988,99;1249,96;1797,18;562,86;4783009,74;87,6;8,5
