usuario_id;idade;renda_mensal;curso;periodo_curso;ano_curso;tem_veiculo;prefere_republica;data_cadastro;origem_cidade;recebe_auxilio_familia
1;20;1999,63;Outros;Noturno;3;False;False;2024-04-09;Interior Estado;True
2;27;1191,83;Direito;Matutino;5;True;False;2024-03-17;Mesma Cidade;True
3;20;2455,23;Engenharia;Integral;2;False;False;2024-07-15;Outro Estado;True
4;27;810,08;Ciência da Computação;Vespertino;4;False;False;2024-03-08;Interior Estado;True
5;28;800,0;Medicina;Noturno;3;False;False;2024-09-04;Outro Estado;True
6;17;3071,85;Administração;Noturno;2;False;True;2024-04-02;Mesma Cidade;True
7;25;1153,22;Ciência da Computação;Integral;4;True;False;2024-11-20;Mesma Cidade;True
8;20;2328,29;Outros;Matutino;2;True;True;2024-05-24;Interior Estado;False
9;20;834,02;Engenharia;Noturno;4;False;False;2024-12-29;Outro Estado;False
10;22;1485,77;Outros;Noturno;5;True;False;2024-08-08;Outro Estado;True
11;25;1751,77;Outros;Integral;4;True;True;2024-12-20;Interior Estado;False
12;29;1472,71;Engenharia;Integral;4;True;False;2024-09-02;Mesma Cidade;True
13;24;876,05;Administração;Vespertino;2;False;True;2024-04-21;Mesma Cidade;True
14;24;988,73;Engenharia;Noturno;2;False;True;2024-07-10;Outro Estado;True
15;22;800,0;Psicologia;Noturno;2;False;True;2024-07-28;Outro Estado;True
16;17;800,0;Arquitetura;Matutino;3;True;True;2024-06-05;Interior Estado;False
17;25;2661,07;Psicologia;Vespertino;3;False;True;2024-10-18;Interior Estado;True
18;24;2196,11;Arquitetura;Matutino;4;False;True;2024-08-29;Outro Estado;True
19;19;2855,12;Psicologia;Noturno;1;True;True;2024-03-12;Interior Estado;False
20;25;800,0;Psicologia;Vespertino;1;False;True;2024-03-06;Mesma Cidade;True
21;17;973,37;Medicina;Matutino;3;False;False;2024-07-01;Interior Estado;False
22;18;800,0;Medicina;Vespertino;1;True;False;2024-11-03;Outro Estado;True
23;24;1133,68;Outros;Integral;3;False;True;2024-12-29;Outro Estado;False
